gamesPlayed,wins,losses,ot,pts,ptPctg,goalsPerGame,goalsAgainstPerGame,evGGARatio,powerPlayPercentage,powerPlayGoals,powerPlayGoalsAgainst,powerPlayOpportunities,penaltyKillPercentage,shotsPerGame,shotsAllowed,winScoreFirst,winOppScoreFirst,winLeadFirstPer,winLeadSecondPer,winOutshootOpp,winOutshotByOpp,faceOffsTaken,faceOffsWon,faceOffsLost,faceOffWinPercentage,shootingPctg,savePctg,Team,Year
82,48,19,3,111,67.7,3.598,2.378,1.1969,22.9,71,49,310,84.7,31.5854,24.6829,0.727,0.421,0.839,0.921,0.583,0.684,5259,2597,2662,49.4,11.4,0.904,New Jersey Devils,2001
82,41,28,4,95,57.9,2.5,2.28,1.1969,16.9,44,43,261,83.8,29.8171,23.1707,0.714,0.275,0.75,0.774,0.452,0.632,5156,2553,2603,49.5,8.4,0.902,New Jersey Devils,2002
82,46,20,6,108,65.9,2.634,2.024,1.3684,11.9,36,32,303,87.9,31.7195,23.5732,0.708,0.353,0.821,0.846,0.523,0.692,5002,2535,2467,50.7,8.3,0.914,New Jersey Devils,2003
82,43,25,2,100,61,2.598,2,1.2636,16.4,51,39,312,85.3,29.6707,24.4024,0.771,0.176,0.821,0.842,0.559,0.5,4916,2419,2497,49.2,8.8,0.918,New Jersey Devils,2004
82,46,27,9,101,61.6,2.841,2.744,0.986,17.8,78,63,439,81.9,29.2073,29.3049,0.696,0.389,0.844,0.886,0.543,0.512,4691,2322,2369,49.5,9.7,0.906,New Jersey Devils,2006
82,49,24,9,107,65.2,2.512,2.354,0.9481,17.7,65,40,367,85.2,28.7073,28.439,0.739,0.417,0.783,0.912,0.711,0.538,4350,2132,2218,49,8.8,0.917,New Jersey Devils,2007
82,46,29,7,99,60.4,2.415,2.354,1.0246,15.6,50,54,320,82.8,28.8049,27.5244,0.725,0.405,0.806,0.879,0.609,0.514,4286,2160,2126,50.4,8.4,0.914,New Jersey Devils,2008
82,51,27,4,106,64.6,2.902,2.524,1.252,18.9,58,65,307,79.9,32.9024,29.4512,0.841,0.368,0.794,0.951,0.694,0.533,4602,2359,2243,51.3,8.8,0.914,New Jersey Devils,2009
82,48,27,7,103,62.8,2.634,2.268,1.0896,18.7,51,41,273,82.8,29.9878,26.9878,0.733,0.405,0.813,0.943,0.542,0.7,4244,2098,2146,49.4,8.8,0.916,New Jersey Devils,2010
82,38,39,5,81,49.4,2.085,2.524,0.8027,14.3,34,40,237,83.4,28.5854,26.2439,0.692,0.256,0.76,0.917,0.386,0.545,4271,2186,2085,51.2,7.3,0.904,New Jersey Devils,2011
82,48,28,6,102,62.2,2.634,2.5,0.9333,17.2,46,27,267,89.6,27.4756,26.8171,0.727,0.421,0.769,0.853,0.571,0.545,4451,2095,2356,47.1,9.6,0.907,New Jersey Devils,2012
48,19,19,10,48,50,2.292,2.542,0.8553,15.3,27,32,176,81.1,28.375,23.125,0.737,0.172,0.727,0.75,0.457,0.25,2779,1339,1440,48.2,8.1,0.89,New Jersey Devils,2013
82,35,29,18,88,53.7,2.402,2.378,0.9275,19.5,47,36,241,86.4,26.8171,25.4756,0.682,0.132,0.667,0.759,0.467,0.364,4624,2174,2450,47,9,0.907,New Jersey Devils,2014
82,32,36,14,78,47.6,2.146,2.549,0.9297,19.3,41,52,212,80.6,24.4878,30.7073,0.533,0.216,0.593,0.781,0.235,0.438,4659,2203,2456,47.3,8.8,0.917,New Jersey Devils,2015
82,38,36,8,84,51.2,2.22,2.463,0.8195,19.9,51,45,256,83,24.4268,28.6463,0.771,0.234,0.826,0.958,0.4,0.5,4701,2183,2518,46.4,9.1,0.914,New Jersey Devils,2016
82,28,40,14,70,42.7,2.195,2.939,0.7651,17.5,44,53,251,79.6,27.7927,31.3659,0.463,0.22,0.44,0.704,0.481,0.275,4920,2422,2498,49.2,7.9,0.906,New Jersey Devils,2017
82,44,29,9,97,59.1,2.963,2.927,0.9581,21.4,54,47,252,81.8,31.6951,31.9024,0.692,0.395,0.739,0.941,0.457,0.6,5046,2371,2675,47,9.3,0.908,New Jersey Devils,2018
82,31,41,10,72,43.9,2.671,3.305,0.7989,17.7,45,40,254,84.3,30.3415,31.6098,0.543,0.167,0.63,0.815,0.429,0.372,4900,2418,2482,49.4,8.8,0.895,New Jersey Devils,2019
69,28,29,12,68,49.3,2.681,3.246,0.7821,17.9,42,39,234,82.3,30.6812,32.6957,0.484,0.342,0.5,0.704,0.417,0.381,3990,1869,2121,46.8,8.7,0.901,New Jersey Devils,2020
56,19,30,7,45,40.2,2.589,3.375,0.8293,14.2,22,43,155,71,28.7857,31.0179,0.552,0.111,0.737,0.733,0.211,0.417,3180,1481,1699,46.6,9,0.891,New Jersey Devils,2021
82,21,51,3,52,31.7,2.256,3.268,1.0069,13.2,51,79,386,82.2,27.5244,29,0.486,0.085,0.5,0.684,0.243,0.273,5386,2624,2762,48.7,8.2,0.887,New York Islanders,2001
82,42,28,4,96,58.5,2.915,2.683,1.0069,16.2,59,52,363,85.8,28.2805,27.8659,0.633,0.333,0.719,0.857,0.459,0.564,5579,2884,2695,51.7,10.3,0.904,New York Islanders,2002
